signal_date,next_trade_date,stock_name,ts_code,status,detail,signal_pre_close,signal_close,signal_up_limit,signal_first_touch,signal_open_segments_1m,signal_first_open,signal_reseal,entry_source,entry_time,entry_price,t1_pre_close,t1_up_limit,t1_open,t1_open_return_pct,t1_mode,window_high_time,window_high_price,window_high_return_pct,window_low_return_pct,exit_signal_time,exit_fill_time,exit_price,exit_reason,gross_return_pct,net_return_pct,mfe_pct,mae_pct
20260717,20260720,贵绳股份,600992.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/600992_SH.csv | tencent:tencent 20260717 600992.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,杭州热电,605011.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/605011_SH.csv | tencent:tencent 20260717 605011.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,宁波能源,600982.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/600982_SH.csv | tencent:tencent 20260717 600982.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,赤天化,600227.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/600227_SH.csv | tencent:tencent 20260717 600227.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,湘财股份,600095.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/600095_SH.csv | tencent:tencent 20260717 600095.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,陕鼓动力,601369.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/601369_SH.csv | tencent:tencent 20260717 601369.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260717,20260720,珍宝岛,603567.SH,error,"RuntimeError(""github:https://raw.githubusercontent.com/njedu2023-prog/top10-decision/main/data/market/minute_1m/2026/20260717/603567_SH.csv | tencent:tencent 20260717 603567.SH | eastmoney:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720,20260721,涪陵电力,600452.SH,completed,,9.09,10.0,10.0,10:06,4.0,13:47,14:02,strict_3m_next_open,13:57,9.92,10.0,11.0,10.07,0.7000000000000117,direct_drop_then_rebound,09:31,10.3,3.0000000000000027,-1.4000000000000012,09:32,09:33,10.05,first_rebound_failed,1.310483870967749,1.1687129904446314,3.8306451612903247,-0.6048387096774244
20260720,20260721,闰土股份,002440.SZ,completed,,10.71,11.78,11.78,11:18,2.0,13:04,14:04,strict_3m_next_open,13:43,11.64,11.78,12.96,12.01,1.9524617996604432,rally_or_high_level_oscillation,09:32,12.3,4.414261460101887,1.4431239388794648,09:32,09:33,12.23,first_rally_reversed,5.068728522336774,4.921698465930868,5.670103092783507,2.6632302405498187
20260720,20260721,立新能源,001258.SZ,completed,,8.27,9.1,9.1,09:32,1.0,09:43,09:50,fallback_1m_next_open,09:46,8.99,9.1,10.01,10.01,10.000000000000009,direct_drop_then_rebound,09:30,10.01,10.000000000000009,10.000000000000009,09:30,09:30,10.01,fast_limit_touch,11.345939933259164,11.190125733742384,11.345939933259164,11.345939933259164
20260720,20260721,粤电力A,000539.SZ,completed,,5.31,5.84,5.84,10:12,3.0,10:13,11:00,strict_3m_next_open,10:52,5.8,5.82,6.4,5.92,1.7182130584192379,direct_drop_then_rebound,09:30,5.95,2.2336769759450092,-2.9209621993127155,09:30,09:31,5.91,first_rebound_failed,1.8965517241379404,1.7539607176770389,2.586206896551735,-2.5862068965517127
20260720,20260721,华银电力,600744.SH,completed,,5.96,6.56,6.56,09:34,2.0,09:35,09:50,strict_3m_next_open,09:48,6.53,6.56,7.22,7.0,6.707317073170738,direct_drop_then_rebound,09:30,7.0,6.707317073170738,0.6097560975609762,09:31,09:32,6.6,first_rebound_failed,1.071975497702904,0.9305383787096444,7.197549770290967,1.071975497702904
20260720,20260721,运机集团,001288.SZ,completed,,20.88,22.97,22.97,09:58,5.0,10:20,14:49,strict_3m_next_open,10:41,22.85,22.97,25.27,22.75,-0.9577710056595468,rally_or_high_level_oscillation,09:32,24.74,7.705703090988236,-0.9577710056595468,09:32,09:33,24.52,first_rally_reversed,7.308533916849003,7.158369543333487,8.27133479212252,-0.4376367614879695
20260720,20260721,紫光股份,000938.SZ,completed,,35.13,37.69,38.64,09:31,4.0,09:55,13:03,fallback_1m_next_open,11:30,38.64,37.69,41.46,37.7,0.026532236667553555,direct_drop_then_rebound,09:30,37.7,0.026532236667553555,-3.979835500132667,09:31,09:32,36.19,hard_stop_after_open,-6.340579710144933,-6.471643919656456,-2.432712215320909,-6.340579710144933
20260720,20260721,杭钢股份,600126.SH,completed,,5.66,6.23,6.23,09:39,2.0,10:38,14:16,strict_3m_next_open,10:41,6.2,6.23,6.85,6.3,1.123595505617958,rally_or_high_level_oscillation,09:34,6.62,6.260032102728719,0.32102728731941976,09:35,09:36,6.56,first_rally_reversed,5.806451612903207,5.658389208727033,6.774193548387086,0.8064516129032251
20260720,20260721,浙大网新,600797.SH,completed,,6.23,6.85,6.85,09:44,3.0,09:53,14:06,strict_3m_next_open,09:59,6.75,6.85,7.54,6.91,0.8759124087591275,direct_drop_then_rebound,09:32,6.95,1.4598540145985384,-0.7299270072992692,09:31,09:32,6.85,first_rebound_failed,1.4814814814814836,1.3394713119836643,2.9629629629629672,0.7407407407407307
20260721,20260722,广合科技,001389.SZ,completed,,158.46,174.31,174.31,13:01,1.0,13:06,14:11,strict_3m_next_open,13:09,174.3,174.31,191.74,174.32,0.005736905513153978,rally_or_high_level_oscillation,09:31,176.28,1.1301703860937318,-0.24668693706615397,09:33,09:34,173.88,first_rally_stalled,-0.24096385542169418,-0.3805636861003103,1.13597246127366,-0.24096385542169418
20260721,20260722,星网锐捷,002396.SZ,completed,,28.74,31.61,31.61,13:03,2.0,13:04,14:22,strict_3m_next_open,13:07,31.32,31.61,34.77,30.16,-4.587155963302747,rally_or_high_level_oscillation,09:32,32.03,1.3286934514394222,-4.776969313508372,09:32,09:33,31.64,first_rally_reversed,1.0217113665389466,0.8803445856771841,2.2669220945082946,-3.895274584929753
20260721,20260722,通富微电,002156.SZ,completed,,63.0,69.3,69.3,13:11,1.0,13:12,13:48,strict_3m_next_open,13:15,69.2,69.3,76.23,71.71,3.4776334776334794,rally_or_high_level_oscillation,09:38,76.23,10.000000000000009,3.4776334776334794,09:38,09:38,76.23,fast_limit_touch,10.158959537572265,10.004806363148134,10.158959537572265,3.6271676300577926
20260721,20260722,华银电力,600744.SH,completed,,6.56,7.22,7.22,13:23,13.0,13:24,14:48,strict_3m_next_open,13:27,7.16,7.22,7.94,6.88,-4.709141274238227,rally_or_high_level_oscillation,09:32,7.35,1.8005540166204925,-4.709141274238227,09:32,09:33,7.3,first_rally_reversed,1.9553072625698276,1.8126340353544768,2.6536312849162025,-3.9106145251396662
